Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Predicted Rings,Residual Rings,Studentized Resid Rings
I,0,0,0,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,5.3631117411,-0.363111741,-0.175481641
I,0,0,0,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,5.1965431526,1.8034568474,0.8716144355
I,0,0,0,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6,5.1713615729,0.8286384271,0.4004363565
I,0,0,0,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,6.1955123766,-1.195512377,-0.578171157
I,0,0,0,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,5.6818975721,-0.681897572,-0.329469858
I,0,0,0,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,6.0593580552,-0.059358055,-0.028669131
I,0,0,0,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6,5.6691836316,0.3308163684,0.1601213557
I,0,0,0,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,5.983414702,0.016585298,0.0080155914
I,0,0,0,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,6.4680415025,-1.468041503,-0.709086374
I,0,0,0,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,6.6600905598,-0.66009056,-0.319200024
I,0,0,0,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,6.4160290341,-0.416029034,-0.200921696
I,0,0,0,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,6.6670393796,-0.66703938,-0.32220984
I,0,0,0,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,6.2930078503,0.7069921497,0.3415227556
I,0,0,0,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6,6.56380463,-0.56380463,-0.272824809
I,0,0,0,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,7.1093400284,-0.109340028,-0.052895068
I,0,0,0,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,7.2618615346,-0.261861535,-0.126438556
I,0,0,0,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6,7.9500325309,-1.950032531,-0.941729362
I,0,0,0,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,7.8861170945,-0.886117094,-0.428145268
I,0,0,0,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,7.6498999764,-0.649899976,-0.313827014
I,0,0,0,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6,7.1262148687,-1.126214869,-0.543960471
I,0,0,0,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,7.9086144109,-0.908614411,-0.438675397
M,1,1,0,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,8.0066740033,-1.006674003,-0.486523355
I,0,0,0,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,7.145781309,-1.145781309,-0.553421354
I,0,0,0,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,7.3303866618,-0.330386662,-0.159709094
I,0,0,0,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,8.1126794284,-1.112679428,-0.537129975
I,0,0,0,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,8.0647697018,-1.064769702,-0.514280337
I,0,0,0,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,8.9192509805,-1.91925098,-0.929034843
I,0,0,0,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,7.3972416737,0.6027583263,0.2909898848
I,0,0,0,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,8.3978678683,-0.397867868,-0.192271147
I,0,0,0,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,7.7923588119,-1.792358812,-0.865703018
I,0,0,0,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,6.9113879656,0.0886120344,0.042803684
I,0,0,0,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6,6.9975601544,-0.997560154,-0.482159097
I,0,0,0,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,7.5426812262,-1.542681226,-0.745232786
I,0,0,0,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,7.9611547321,-0.961154732,-0.464078018
M,1,1,0,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,7.7210927618,-0.721092762,-0.348758269
I,0,0,0,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6,8.6536293038,-2.653629304,-1.282352785
I,0,0,0,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6,7.8270119125,-1.827011912,-0.882339915
I,0,0,0,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,7.0628605408,-0.062860541,-0.030397851
I,0,0,0,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,8.1954352592,-0.195435259,-0.094605132
M,1,1,0,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,7.8459097883,-0.845909788,-0.427397099
I,0,0,0,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7,8.9319622054,-1.931962205,-0.933893294
I,0,0,0,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9,9.1819771371,-0.181977137,-0.087897456
I,0,0,0,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8,7.8579115658,0.1420884342,0.0686506388
M,1,1,0,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6,8.4904008311,-2.490400831,-1.203633984
F,1,0,1,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7,8.9018031524,-1.901803152,-0.91947081
I,0,0,0,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,8.4456262834,-0.445626283,-0.215437986
F,1,0,1,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,8.8066199497,-2.80661995,-1.357363509
I,0,0,0,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,8.2000471257,0.7999528743,0.3865023621
I,0,0,0,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,8.4887333273,-0.488733327,-0.236211358
I,0,0,0,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,7.7341843162,0.2658156838,0.1285269729
M,1,1,0,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,9.2227133236,-0.222713324,-0.107589148
I,0,0,0,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,8.4804485609,-0.480448561,-0.232591829
I,0,0,0,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8,7.5355544172,0.4644455828,0.2250171954
F,1,0,1,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,9.0090722824,-2.009072282,-0.982358078
I,0,0,0,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,8.3327634022,-0.332763402,-0.160826784
I,0,0,0,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,9.1917465787,-0.191746579,-0.092629637
M,1,1,0,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,8.7269527817,0.2730472183,0.1319174838
I,0,0,0,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,7.6021023903,0.3978976097,0.1925484895
I,0,0,0,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,8.757194956,-0.757194956,-0.365750232
I,0,0,0,0.535,0.39,0.125,0.599,0.2595,0.149,0.169,9,8.262966096,0.737033904,0.3568070807
I,0,0,0,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,8.941699115,1.058300885,0.511318521
M,1,1,0,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,7.1761023322,-0.176102332,-0.085426708
M,1,1,0,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9,7.9994944067,1.0005055933,0.4846897251
M,1,1,0,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,8.5491324518,0.4508675482,0.2186640384
F,1,0,1,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8,7.8833688913,0.1166311087,0.0564284669
F,1,0,1,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,9.486085247,-1.486085247,-0.71755732
M,1,1,0,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,9.0601964092,0.9398035908,0.4538381154
M,1,1,0,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,8.8917614303,0.1082385697,0.0522887094
M,1,1,0,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,9.2626295087,-1.262629509,-0.610084906
F,1,0,1,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,8.4801714286,-0.480171429,-0.234176416
M,1,1,0,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,8.5035357723,-0.503535772,-0.243396358
M,1,1,0,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,8.9827855797,0.0172144203,0.0083206773
M,1,1,0,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,7.4965778082,0.5034221918,0.2442312644
F,1,0,1,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,10.508918176,-1.508918176,-0.729203774
M,1,1,0,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9,8.7649841504,0.2350158496,0.1136432468
F,1,0,1,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8,9.245348609,-1.245348609,-0.601539633
I,0,0,0,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8,9.5135768955,-1.513576895,-0.731531665
F,1,0,1,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7,9.7909179547,-2.790917955,-1.347845806
F,1,0,1,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10,8.8266285268,1.1733714732,0.5675760164
M,1,1,0,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,9.1686269173,-0.168626917,-0.081446293
F,1,0,1,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9,9.119967217,-0.119967217,-0.058133178
M,1,1,0,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9,9.6599697268,-0.659969727,-0.31875678
I,0,0,0,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,9.6877262266,0.3122737734,0.1517994455
M,1,1,0,0.575,0.445,0.17,1.0225,0.549,0.2175,0.228,9,8.2325900725,0.7674099275,0.3715233966
M,1,1,0,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,8.8516139343,0.1483860657,0.0716689598
M,1,1,0,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,10.906615321,-2.906615321,-1.405914177
M,1,1,0,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,9.6867910969,-0.686791097,-0.344384634
M,1,1,0,0.58,0.445,0.135,0.814,0.3775,0.1915,0.22,9,9.1652127457,-0.165212746,-0.079835451
M,1,1,0,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,9.244393387,-0.244393387,-0.118077631
M,1,1,0,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,8.2071230413,-0.207123041,-0.100158004
F,1,0,1,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9,10.703496418,-1.703496418,-0.822811776
M,1,1,0,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,8.9031362175,0.0968637825,0.0468049299
M,1,1,0,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7,9.2631823572,-2.263182357,-1.093772912
M,1,1,0,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8,8.9998714403,-0.99987144,-0.483042226
F,1,0,1,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,9.4798690976,-0.479869098,-0.231862961
M,1,1,0,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8,7.7549239661,0.2450760339,0.1193393588
F,1,0,1,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8,8.9222686967,-0.922268697,-0.445841984
M,1,1,0,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10,8.3479515436,1.6520484564,0.7987339191
F,1,0,1,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,9.1601133373,-0.160113337,-0.077457885
M,1,1,0,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9,8.9844342888,0.0155657112,0.0075228972
M,1,1,0,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10,10.044252369,-0.044252369,-0.021374469
F,1,0,1,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,12.071074559,-3.071074559,-1.483528184
M,1,1,0,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,8.6092601388,-0.609260139,-0.294800425
M,1,1,0,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9,8.59796411,0.40203589,0.196986628
M,1,1,0,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9,9.5227612341,-0.522761234,-0.252488763
M,1,1,0,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,9.4856338251,0.5143661749,0.2489063414
F,1,0,1,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9,9.0463055915,-0.046305592,-0.022425239
F,1,0,1,0.615,0.475,0.155,1.027,0.447,0.25,0.285,9,10.296811168,-1.296811168,-0.626343469
M,1,1,0,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,8.6814719736,-0.681471974,-0.330109556
M,1,1,0,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,10.234438912,-2.234438912,-1.113516999
F,1,0,1,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,9.0813339098,-1.08133391,-0.522654375
F,1,0,1,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,9.1813916168,-0.181391617,-0.087925381
M,1,1,0,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8,9.2410895174,-1.241089517,-0.600574103
M,1,1,0,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8,9.3529496879,-1.352949688,-0.65537052
M,1,1,0,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,10.615072804,-0.615072804,-0.297063707
F,1,0,1,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9,9.6455442847,-0.645544285,-0.342735811
M,1,1,0,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,10.244383375,-0.244383375,-0.118212398
M,1,1,0,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,10.941063728,-0.941063728,-0.455277104
F,1,0,1,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,9.7243198769,0.2756801231,0.1333611897
F,1,0,1,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9,11.305493042,-2.305493042,-1.114568159
M,1,1,0,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,9.1219131862,1.8780868138,0.9094630952
M,1,1,0,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11,10.447606377,0.5523936232,0.2683865399
F,1,0,1,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,11.324922613,-1.324922613,-0.640891308
F,1,0,1,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,12.907604476,-1.907604476,-0.924079475
M,1,1,0,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8,10.442931209,-2.442931209,-1.181508999
I,0,0,0,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,11.225918454,-2.225918454,-1.085108279
F,1,0,1,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,10.534848045,-1.534848045,-0.744756051
F,1,0,1,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,13.41018119,0.5898188103,0.2859407812
M,1,1,0,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10,10.359740789,-0.359740789,-0.174203607
F,1,0,1,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,11.142031614,-2.142031614,-1.037394607
M,1,1,0,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12,10.045102699,1.9548973009,0.9498973777
F,1,0,1,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,9.6565471443,-0.656547144,-0.318308904
M,1,1,0,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,10.660701549,-0.660701549,-0.320313144
M,1,1,0,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9,10.899078439,-1.899078439,-0.922559481
M,1,1,0,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,12.287241268,-0.287241268,-0.143057212
F,1,0,1,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9,9.8092352558,-0.809235256,-0.395217493
F,1,0,1,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9,8.9560506875,0.0439493125,0.0215188359
F,1,0,1,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,11.106100053,-0.106100053,-0.051317403
M,1,1,0,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12,11.45170636,0.5482936395,0.2671506176
M,1,1,0,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,10.618936543,-0.618936543,-0.302398555
F,1,0,1,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,11.718933149,-1.718933149,-0.839949961
F,1,0,1,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,11.17464572,-1.17464572,-0.571082554
M,1,1,0,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,8.6005359821,-0.600535982,-0.30640359
M,1,1,0,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12,9.9119946637,2.0880053363,1.0561897507
F,1,0,1,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12,10.841163987,1.1588360132,0.5625518368
M,1,1,0,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,11.847105901,-0.847105901,-0.416179849
M,1,1,0,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,10.86609948,0.1339005197,0.0651140915
F,1,0,1,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11,11.238209845,-0.238209845,-0.117413899
F,1,0,1,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11,12.383323575,-1.383323575,-0.693374837
M,1,1,0,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,13.09327143,-3.09327143,-1.505453833
F,1,0,1,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11,14.686443862,-3.686443862,-1.998104958
I,0,0,0,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,6.9869478984,-0.986947898,-1.141709167
I,0,0,0,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4,5.2539999549,-1.253999955,-0.607955033
I,0,0,0,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,5.2613798076,-0.261379808,-0.126295452
I,0,0,0,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,5.2528407273,-0.252840727,-0.122198752
I,0,0,0,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6,5.8141158681,0.1858841319,0.0901152232
I,0,0,0,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5,5.7910608888,-0.791060889,-0.382380727
I,0,0,0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,2.6108866464,2.3891133536,1.3432956393
I,0,0,0,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,6.3551510755,-1.355151075,-0.654399812
I,0,0,0,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,6.005045686,-1.005045686,-0.48542494
I,0,0,0,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,6.9890744094,-0.989074409,-0.48039871
I,0,0,0,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7,6.4486897493,0.5513102507,0.2664345798
I,0,0,0,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,5.8123439795,-0.812343979,-0.396146317
I,0,0,0,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7,6.2816159595,0.7183840405,0.3470312689
I,0,0,0,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,6.6839224357,-0.683922436,-0.330293592
I,0,0,0,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6,6.568120868,-0.568120868,-0.274413731
I,0,0,0,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5,6.0200110866,-1.020011087,-0.492609575
I,0,0,0,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,6.4628139345,-0.462813935,-0.223647145
I,0,0,0,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,6.408649704,1.591350296,0.7686490003
I,0,0,0,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4,6.7017400561,-2.701740056,-1.304511545
I,0,0,0,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6,6.5840668832,-0.584066883,-0.282000135
I,0,0,0,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,6.7282111492,0.2717888508,0.1312333752
I,0,0,0,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7,6.5376479409,0.4623520591,0.2232645137
I,0,0,0,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7,7.5077559822,-0.507755982,-0.245353037
I,0,0,0,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6,6.3681175047,-0.368117505,-0.177800471
I,0,0,0,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5,6.8518495018,-1.851849502,-0.894291095
I,0,0,0,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7,6.5155231848,0.4844768152,0.2339738798
I,0,0,0,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6,7.0620164104,-1.06201641,-0.512838806
I,0,0,0,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,7.1409434223,-1.140943422,-0.551048867
I,0,0,0,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,6.7060834909,1.2939165091,0.6249696688
I,0,0,0,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7,6.8018290217,0.1981709783,0.0957329281
I,0,0,0,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6,7.4258989743,-1.425898974,-0.689182613
I,0,0,0,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,6.7429707446,1.2570292554,0.6076206025
I,0,0,0,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9,7.0646416411,1.9353583589,0.9343113673
I,0,0,0,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8,6.6739403723,1.3260596277,0.6406026171
I,0,0,0,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7,6.7032647617,0.2967352383,0.1433069318
I,0,0,0,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5,6.7328630318,-1.732863032,-0.836922167
I,0,0,0,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.089,7,6.914887317,0.085112683,0.0411071265
I,0,0,0,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8,7.9583739602,0.0416260398,0.0200970149
I,0,0,0,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8,7.3092241313,0.6907758687,0.3334527792
I,0,0,0,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5,6.7740497156,-1.774049716,-0.858476243
I,0,0,0,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5,7.0076224484,-2.007622448,-0.969511713
I,0,0,0,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6,6.5847614006,-0.584761401,-0.282695255
I,0,0,0,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7,8.3783848004,-1.3783848,-0.671176472
I,0,0,0,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6,6.4864037741,-0.486403774,-0.235076295
I,0,0,0,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7,7.3568430807,-0.356843081,-0.172542319
I,0,0,0,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7,7.7831824188,-0.783182419,-0.378166202
I,0,0,0,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7,6.723328992,0.276671008,0.133686141
I,0,0,0,0.43,0.34,0,0.428,0.2065,0.086,0.115,8,5.2671420673,2.7328579327,1.3745001585
I,0,0,0,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8,7.2585776139,0.7414223861,0.3580701525
I,0,0,0,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7,8.0172266615,-1.017226661,-0.491378153
I,0,0,0,0.44,0.34,0.12,0.438,0.2115,0.083,0.12,9,8.009976951,0.990023049,0.478091935
I,0,0,0,0.45,0.33,0.105,0.448,0.208,0.089,0.12,9,7.7012445077,1.2987554923,0.6272541971
I,0,0,0,0.455,0.345,0.105,0.4005,0.164,0.0755,0.126,8,8.2796506195,-0.27965062,-0.135065326
F,1,0,1,0.455,0.365,0.115,0.4305,0.184,0.108,0.1245,8,9.3528172301,-1.35281723,-0.654054068
I,0,0,0,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8,4.8622754698,3.1377245302,1.5542725809
I,0,0,0,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7,7.4471964605,-0.44719646,-0.216117564
I,0,0,0,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9,7.7522789946,1.2477210054,0.6026579334
F,1,0,1,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8,9.6882892206,-1.688289221,-0.815589729
I,0,0,0,0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11,7.8028012267,3.1971987733,1.5455310142
I,0,0,0,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8,7.8858502088,0.1141497912,0.0551686842
I,0,0,0,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,10.014734257,-2.014734257,-0.984278221
I,0,0,0,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8,8.0096431212,-0.009643121,-0.004659089
I,0,0,0,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8,7.5046477121,0.4953522879,0.239483783
I,0,0,0,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8,8.8647485335,-0.864748534,-0.417998395
I,0,0,0,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8,8.4031957139,-0.403195714,-0.194649234
I,0,0,0,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9,9.0127283415,-0.012728341,-0.006145546
I,0,0,0,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8,8.0023273834,-0.002327383,-0.001124167
I,0,0,0,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8,7.5584331769,0.4415668231,0.2134498835
I,0,0,0,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8,8.3850294632,-0.385029463,-0.186184299
I,0,0,0,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7,8.8352468864,-1.835246886,-0.88621337
M,1,1,0,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8,9.8062909039,-1.806290904,-0.872887453
I,0,0,0,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9,8.6006890745,0.3993109255,0.1931320794
M,1,1,0,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9,9.8569161202,-0.85691612,-0.414471515
I,0,0,0,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,9.6565853657,-0.656585366,-0.317527688
I,0,0,0,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,10.362373269,-1.362373269,-0.659620923
I,0,0,0,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,8.4940998167,-1.494099817,-0.721385078
I,0,0,0,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9,9.3922683576,-0.392268358,-0.189586679
I,0,0,0,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8,8.607040302,-0.607040302,-0.293600885
I,0,0,0,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7,8.7205741717,-1.720574172,-0.831205786
