Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Square Root[Rings],Predicted Square Root[Rings],Residual Square Root[Rings],Studentized Resid Square Root[Rings]
M,1,1,0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,3.6055512755,4.1274983436,-0.521947068,-1.752455626
M,1,1,0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,4,3.7892060987,0.2107939013,0.7021994784
M,1,1,0,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,3.4641016151,3.4053674053,0.0587342099,0.1950303711
F,1,0,1,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18,4.2426406871,3.2473951735,0.9952455137,3.298194457
M,1,1,0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16,4,3.7385734063,0.2614265937,0.877037394
F,1,0,1,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16,4,3.3874865958,0.6125134042,2.0310010718
F,1,0,1,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,4.1231056256,3.4644494642,0.6586561614,2.1990246924
F,1,0,1,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,3.3166247904,3.2213186995,0.0953060909,0.3173810107
F,1,0,1,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,3.7416573868,3.2706011975,0.4710561893,1.5710375824
M,1,1,0,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11,3.3166247904,3.244525994,0.0720987964,0.2391945604
F,1,0,1,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15,3.8729833462,3.4296828245,0.4433005217,1.4733668966
I,0,0,0,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9,3,2.7907626798,0.2092373202,0.6934229371
I,0,0,0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10,3.1622776602,2.8014914633,0.3607861969,1.1945939582
F,1,0,1,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11,3.3166247904,3.28429472,0.0323300703,0.1070340988
M,1,1,0,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11,3.3166247904,2.8463238405,0.4703009499,1.5583790026
F,1,0,1,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12,3.4641016151,3.4272840001,0.036817615,0.1220279119
I,0,0,0,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6,2.4494897428,2.3283638342,0.1211259086,0.401774475
I,0,0,0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5,2.2360679775,2.1896189744,0.0464490031,0.154017725
I,0,0,0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6,2.4494897428,2.3620433178,0.087446425,0.2898178264
I,0,0,0,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5,2.2360679775,1.9884308039,0.2476371736,0.8241663439
F,1,0,1,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12,3.4641016151,3.5643236449,-0.10022203,-0.332732016
M,1,1,0,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,13,3.6055512755,3.588673136,0.0168781394,0.0559882288
F,1,0,1,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17,4.1231056256,4.1383440225,-0.015238397,-0.050974617
M,1,1,0,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21,4.582575695,3.8149735036,0.7676021913,2.5605633078
F,1,0,1,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9,3,3.3136661812,-0.313666181,-1.040350498
F,1,0,1,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10,3.1622776602,3.0754752308,0.0868024294,0.28750815
I,0,0,0,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,3,2.8692187525,0.1307812475,0.43345314
F,1,0,1,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11,3.3166247904,3.1433210162,0.1733037742,0.5740387565
F,1,0,1,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10,3.1622776602,3.610422339,-0.448144679,-1.486265702
M,1,1,0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17,4.1231056256,3.6705379036,0.452567722,1.5028264673
F,1,0,1,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9,3,3.1817796862,-0.181779686,-0.602484866
M,1,1,0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17,4.1231056256,3.7648981749,0.3582074507,1.1936310191
M,1,1,0,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21,4.582575695,3.9538805477,0.6286951472,2.1122227686
M,1,1,0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16,4,3.603659096,0.396340904,1.3186496549
F,1,0,1,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,5.3851648071,3.7008177668,1.6843470403,5.7144883132
M,1,1,0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,4.1231056256,3.3591488963,0.7639567294,2.5555585551
M,1,1,0,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15,3.8729833462,3.1222225739,0.7507607723,2.4914522849
F,1,0,1,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,4.3588989435,3.2508234675,1.108075476,3.6686240159
M,1,1,0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12,3.4641016151,3.2458903582,0.2182112569,0.7238957279
F,1,0,1,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13,3.6055512755,3.3901219066,0.2154293689,0.7149607485
M,1,1,0,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11,3.3166247904,3.2793966824,0.037228108,0.1237638292
F,1,0,1,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15,3.8729833462,3.3550642287,0.5179191175,1.721178965
M,1,1,0,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11,3.3166247904,3.1945529412,0.1220718491,0.4039753108
F,1,0,1,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14,3.7416573868,3.3720690172,0.3695883696,1.2239846766
M,1,1,0,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14,3.7416573868,3.2842823675,0.4573750193,1.516122753
M,1,1,0,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13,3.6055512755,3.4369015008,0.1686497746,0.5592672565
F,1,0,1,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11,3.3166247904,3.4056628709,-0.089038081,-0.295275155
M,1,1,0,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,3.8729833462,3.6101291276,0.2628542186,0.8721639706
M,1,1,0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17,4.1231056256,3.5598259363,0.5632796893,1.8832296139
F,1,0,1,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15,3.8729833462,3.460262841,0.4127205052,1.3718569752
F,1,0,1,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12,3.4641016151,3.8740240051,-0.40992239,-1.365052775
F,1,0,1,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19,4.3588989435,3.315120302,1.0437786415,3.4569531727
F,1,0,1,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11,3.3166247904,3.3591027639,-0.042477974,-0.141817999
M,1,1,0,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10,3.1622776602,3.5576651878,-0.395387528,-1.311420597
F,1,0,1,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12,3.4641016151,3.2926143038,0.1714873114,0.5701958909
F,1,0,1,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23,4.7958315233,4.0269629202,0.7688686031,2.596144441
F,1,0,1,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15,3.8729833462,3.883607614,-0.010624268,-0.035836554
F,1,0,1,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,3.6055512755,3.5835769653,0.0219743102,0.0730082299
F,1,0,1,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17,4.1231056256,3.7159274689,0.4071781567,1.3516296664
M,1,1,0,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15,3.8729833462,3.292844807,0.5801385393,1.9202767802
M,1,1,0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12,3.4641016151,3.7020804496,-0.237978834,-0.808867909
M,1,1,0,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,3.8729833462,3.8402107762,0.03277257,0.1096157832
M,1,1,0,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11,3.3166247904,3.3614891382,-0.044864348,-0.148775639
I,0,0,0,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16,4,3.4955884674,0.5044115326,1.6787519854
I,0,0,0,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10,3.1622776602,3.3423351115,-0.180057451,-0.601538972
F,1,0,1,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10,3.1622776602,3.0745151306,0.0877625295,0.2910294475
F,1,0,1,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10,3.1622776602,3.3646797197,-0.20240206,-0.671007125
M,1,1,0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6,2.4494897428,2.6569678559,-0.207478113,-0.689551469
F,1,0,1,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5,2.2360679775,2.5733488826,-0.337280905,-1.133736895
M,1,1,0,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6,2.4494897428,2.5451557535,-0.095666011,-0.318557186
M,1,1,0,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,9,3,2.9442495461,0.0557504539,0.1851676506
M,1,1,0,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5,2.2360679775,2.5902580528,-0.354190075,-1.178452518
M,1,1,0,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4,2,2.7110324781,-0.711032478,-2.362758299
F,1,0,1,0.345,0.25,0.09,0.203,0.078,0.059,0.055,6,2.4494897428,2.8187109751,-0.369221232,-1.230854133
M,1,1,0,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3,1.7320508076,2.2272337378,-0.49518293,-1.658639152
F,1,0,1,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5,2.2360679775,2.8090067169,-0.572938739,-1.904862839
I,0,0,0,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9,3,2.698639609,0.301360391,1.0006029346
M,1,1,0,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5,2.2360679775,2.188986137,0.0470818405,0.1579772687
M,1,1,0,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4,2,2.3052459511,-0.305245951,-1.020890223
M,1,1,0,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4,2,2.0472218116,-0.047221812,-0.159476193
M,1,1,0,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3,1.7320508076,1.9523578799,-0.220307072,-0.748038753
F,1,0,1,0.57,0.445,0.155,0.733,0.282,0.159,0.235,14,3.7416573868,3.3640943863,0.3775630005,1.2520432656
F,1,0,1,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12,3.4641016151,3.3049657714,0.1591358437,0.5270911473
M,1,1,0,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9,3,2.9643511635,0.0356488365,0.1181637439
I,0,0,0,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20,4.472135955,3.3795749873,1.0925609677,3.6591349553
F,1,0,1,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13,3.6055512755,3.0938962134,0.5116550621,1.69505066
I,0,0,0,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12,3.4641016151,2.9962702328,0.4678313823,1.5490272785
F,1,0,1,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9,3,2.9778040998,0.0221959002,0.0735478507
I,0,0,0,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10,3.1622776602,2.9982286071,0.1640490531,0.5439147878
I,0,0,0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11,3.3166247904,3.0271021536,0.2895226367,0.9609135541
I,0,0,0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11,3.3166247904,3.1493038935,0.1673208968,0.5556482476
M,1,1,0,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7,2.6457513111,2.6570474405,-0.011296129,-0.037554583
M,1,1,0,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5,2.2360679775,2.5791282151,-0.343060238,-1.140330788
F,1,0,1,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10,3.1622776602,3.0773237631,0.084953897,0.2822427529
F,1,0,1,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15,3.8729833462,3.2126281883,0.6603551579,2.1874667851
F,1,0,1,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11,3.3166247904,3.1709010973,0.145723693,0.4830168255
M,1,1,0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,3.8729833462,3.1608385559,0.7121447903,2.3606165824
M,1,1,0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8,2.8284271247,3.02713881,-0.198711685,-0.658486094
F,1,0,1,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10,3.1622776602,2.9993037155,0.1629739446,0.5410409679
M,1,1,0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11,3.3166247904,2.7257998362,0.5908249541,1.961250681
M,1,1,0,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8,2.8284271247,2.4829452426,0.3454818822,1.1502731799
M,1,1,0,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7,2.6457513111,2.2305798033,0.4151715077,1.3936400586
F,1,0,1,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12,3.4641016151,3.1916301849,0.2724714302,0.9035262486
I,0,0,0,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11,3.3166247904,3.3420009349,-0.025376145,-0.084451996
I,0,0,0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17,4.1231056256,3.4368159666,0.686289659,2.3054337109
I,0,0,0,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13,3.6055512755,3.3623945722,0.2431567032,0.8111483654
I,0,0,0,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12,3.4641016151,3.273887617,0.1902139982,0.6309330186
I,0,0,0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13,3.6055512755,2.9575766586,0.6479746169,2.1461274975
I,0,0,0,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9,3,2.8014222752,0.1985777248,0.6600483293
I,0,0,0,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10,3.1622776602,3.0526030576,0.1096746025,0.3645271141
I,0,0,0,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14,3.7416573868,3.3271854532,0.4144719336,1.3778926572
F,1,0,1,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12,3.4641016151,3.4038655267,0.0602360885,0.2000496369
F,1,0,1,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13,3.6055512755,3.5927667252,0.0127845503,0.0424136539
I,0,0,0,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13,3.6055512755,3.2679332166,0.3376180589,1.1217083861
F,1,0,1,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8,2.8284271247,3.0672346259,-0.238807501,-0.791457242
I,0,0,0,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13,3.6055512755,2.9734926698,0.6320586057,2.1004059618
F,1,0,1,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11,3.3166247904,3.2045720605,0.1120527298,0.3716646582
F,1,0,1,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11,3.3166247904,3.3547283262,-0.038103536,-0.126234309
F,1,0,1,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14,3.7416573868,3.3145164294,0.4271409574,1.4152612329
M,1,1,0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10,3.1622776602,2.7616795557,0.4005981045,1.3334995314
I,0,0,0,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12,3.4641016151,3.0032136596,0.4608879555,1.5268567939
I,0,0,0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12,3.4641016151,2.8374106966,0.6266909186,2.0786594549
M,1,1,0,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7,2.6457513111,2.6038128638,0.0419384472,0.1394028765
F,1,0,1,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11,3.3166247904,2.9712260654,0.3453987249,1.1460013991
I,0,0,0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16,4,2.9433435618,1.0566564382,3.5038873563
I,0,0,0,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14,3.7416573868,2.9079287331,0.8337286536,2.7643641872
F,1,0,1,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20,4.472135955,3.7208476203,0.7512883347,2.4964853244
F,1,0,1,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17,4.1231056256,3.4223589516,0.700746674,2.3207988132
I,0,0,0,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10,3.1622776602,3.3092966302,-0.14701897,-0.491119086
F,1,0,1,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11,3.3166247904,3.2237404462,0.0928843441,0.3082419485
I,0,0,0,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10,3.1622776602,3.2194757614,-0.057198101,-0.189658923
F,1,0,1,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10,3.1622776602,3.259661328,-0.097383668,-0.323189361
I,0,0,0,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11,3.3166247904,3.1725283018,0.1440964885,0.4776691411
F,1,0,1,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17,4.1231056256,3.7628268316,0.360278794,1.2009801451
F,1,0,1,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11,3.3166247904,3.3136139094,0.0030108809,0.0099699519
I,0,0,0,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14,3.7416573868,3.1435976167,0.5980597701,1.9822828862
F,1,0,1,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19,4.3588989435,3.3569653777,1.0019335658,3.3249175073
I,0,0,0,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13,3.6055512755,2.8944860793,0.7110651961,2.362845679
F,1,0,1,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11,3.3166247904,2.8865456788,0.4300791115,1.4285579034
I,0,0,0,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11,3.3166247904,3.0706623807,0.2459624097,0.8151943276
I,0,0,0,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10,3.1622776602,3.2012975581,-0.039019898,-0.130363995
F,1,0,1,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13,3.6055512755,3.4034044858,0.2021467897,0.6698275304
M,1,1,0,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14,3.7416573868,3.3370027556,0.4046546311,1.3457646666
F,1,0,1,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13,3.6055512755,2.9748861966,0.6306650789,2.0935224873
I,0,0,0,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13,3.6055512755,3.3415567805,0.263994495,0.875310474
F,1,0,1,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,3,2.9085711615,0.0914288385,0.3039893686
I,0,0,0,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18,4.2426406871,3.3206161184,0.9220245687,3.0853973998
F,1,0,1,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19,4.3588989435,3.8637008209,0.4951981226,1.6482008102
M,1,1,0,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12,3.4641016151,3.4494492032,0.0146524119,0.0485280293
I,0,0,0,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13,3.6055512755,3.5709293189,0.0346219566,0.1155460824
F,1,0,1,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9,3,3.3791432147,-0.379143215,-1.256529407
I,0,0,0,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,13,3.6055512755,3.4008062556,0.2047450198,0.6834290063
I,0,0,0,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12,3.4641016151,3.5803135152,-0.1162119,-0.390916998
F,1,0,1,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16,4,3.9433483463,0.0566516537,0.1884232161
I,0,0,0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17,4.1231056256,3.2890132829,0.8340923427,2.7678622935
F,1,0,1,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10,3.1622776602,2.9638989117,0.1983787484,0.6591421763
F,1,0,1,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13,3.6055512755,2.9743318272,0.6312194482,2.0942079828
I,0,0,0,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11,3.3166247904,2.9635761053,0.353048685,1.1694512697
I,0,0,0,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12,3.4641016151,3.2358829978,0.2282186174,0.7583781721
I,0,0,0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13,3.6055512755,3.0988799816,0.5066712939,1.6805028433
M,1,1,0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9,3,2.8053642772,0.1946357228,0.6454916519
I,0,0,0,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10,3.1622776602,2.9394915533,0.2227861069,0.7383747014
M,1,1,0,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10,3.1622776602,3.0296906871,0.1325869731,0.4398361542
M,1,1,0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12,3.4641016151,2.9176812533,0.5464203619,1.8117162523
F,1,0,1,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,3.4641016151,3.3523760212,0.1117255939,0.3726384597
M,1,1,0,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4,2,2.2099080085,-0.209908009,-0.704434768
M,1,1,0,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,3,2.8252464981,0.1747535019,0.5802614161
I,0,0,0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18,4.2426406871,3.0762851122,1.1663555749,3.8751551852
I,0,0,0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,3.8729833462,3.168362585,0.7046207612,2.338019922
M,1,1,0,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13,3.6055512755,3.3448866288,0.2606646467,0.8669618366
F,1,0,1,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12,3.4641016151,3.3060064753,0.1580951398,0.5243526484
M,1,1,0,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7,2.6457513111,2.7243817012,-0.07863039,-0.260943955
M,1,1,0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,3,2.7012422967,0.2987577033,0.9922365736
M,1,1,0,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7,2.6457513111,2.3810238045,0.2647275065,0.8836490691
M,1,1,0,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10,3.1622776602,2.8066511041,0.3556265561,1.1799926206
I,0,0,0,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18,4.2426406871,3.4284581814,0.8141825057,2.7129997681
F,1,0,1,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,3.4641016151,3.1345597921,0.3295418231,1.0918234974
F,1,0,1,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17,4.1231056256,3.258040132,0.8650654937,2.8699589869
I,0,0,0,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15,3.8729833462,2.8587627309,1.0142206153,3.3586467099
F,1,0,1,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12,3.4641016151,3.3893141436,0.0747874716,0.2481812377
F,1,0,1,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10,3.1622776602,3.1348421749,0.0274354853,0.0910889759
F,1,0,1,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8,2.8284271247,2.9198176339,-0.091390509,-0.303699254
I,0,0,0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,4.582575695,3.3994333726,1.1831423223,3.9330367894
M,1,1,0,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10,3.1622776602,2.785977688,0.3762999721,1.2483741993
I,0,0,0,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9,3,2.8112105921,0.1887894079,0.6252585591
F,1,0,1,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7,2.6457513111,3.153631816,-0.507880505,-1.683882073
M,1,1,0,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10,3.1622776602,3.1738053553,-0.011527695,-0.038177719
I,0,0,0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9,3,3.1137443539,-0.113744354,-0.376707215
M,1,1,0,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9,3,2.995313132,0.004686868,0.0155671986
M,1,1,0,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8,2.8284271247,2.9313218992,-0.102894774,-0.341224766
M,1,1,0,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,2.6457513111,2.8151727722,-0.169421461,-0.571599892
M,1,1,0,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6,2.4494897428,2.7567222939,-0.307232551,-1.019139936
I,0,0,0,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,3.7416573868,3.0307911003,0.7108662864,2.3538380596
F,1,0,1,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,3.6055512755,3.2872659583,0.3182853171,1.0542744199
M,1,1,0,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7,2.6457513111,2.667560273,-0.021808962,-0.072354922
I,0,0,0,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13,3.6055512755,3.6124662176,-0.006914942,-0.02308737
F,1,0,1,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19,4.3588989435,3.4994057823,0.8594931612,2.8522249203
M,1,1,0,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,2.6457513111,2.799954526,-0.154203215,-0.511621222
M,1,1,0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9,3,3.0163497987,-0.016349799,-0.054231817
I,0,0,0,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,3.3166247904,2.9110203017,0.4056044887,1.3448001057
M,1,1,0,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6,2.4494897428,2.6560813776,-0.206591635,-0.691149537
M,1,1,0,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9,3,3.7495235846,-0.749523585,-2.5437027
I,0,0,0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11,3.3166247904,3.0122215072,0.3044032831,1.0075158132
F,1,0,1,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9,3,3.2207385669,-0.220738567,-0.732029897
M,1,1,0,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5,2.2360679775,2.431526842,-0.195458865,-0.651493402
I,0,0,0,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,2.4494897428,2.6304567787,-0.180967036,-0.599350975
I,0,0,0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11,3.3166247904,3.000510677,0.3161141134,1.0472026565
M,1,1,0,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7,2.6457513111,2.6985179122,-0.052766601,-0.17524543
