Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings]
M,1,1,0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15,2.7080502011,2.287838003,0.4202121981,2.2739377744
M,1,1,0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,8,2.0794415417,2.2089779377,-0.129536396,-0.700757542
F,1,0,1,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10,2.302585093,2.1758119572,0.1267731357,0.6870557456
M,1,1,0,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11,2.3978952728,1.9861055052,0.4117897676,2.2315293195
M,1,1,0,0.255,0.195,0.065,0.08,0.0315,0.018,0.027,8,2.0794415417,1.7953302092,0.2841113325,1.5442479832
M,1,1,0,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,7,1.9459101491,1.578604945,0.367305204,2.0128106909
F,1,0,1,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12,2.4849066498,2.3049788081,0.1799278417,0.9740268796
I,0,0,0,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11,2.3978952728,2.3995033092,-0.001608036,-0.008736409
I,0,0,0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17,2.8332133441,2.4540312138,0.3791821303,2.0794372308
I,0,0,0,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345,13,2.5649493575,2.4218481777,0.1431011798,0.7793096142
I,0,0,0,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12,2.4849066498,2.354975289,0.1299313608,0.703570364
I,0,0,0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13,2.5649493575,2.1583939017,0.4065554558,2.1982145998
I,0,0,0,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9,2.1972245773,2.0537688119,0.1434557654,0.7784235776
I,0,0,0,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10,2.302585093,2.217187196,0.085397897,0.4633655191
I,0,0,0,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14,2.6390573296,2.3937364968,0.2453208328,1.3313966446
F,1,0,1,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12,2.4849066498,2.4351072085,0.0497994413,0.2699965683
F,1,0,1,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13,2.5649493575,2.5447143583,0.0202349991,0.1095913283
I,0,0,0,0.52,0.4,0.145,0.66,0.267,0.1055,0.22,13,2.5649493575,2.344968427,0.2199809304,1.1931419125
F,1,0,1,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8,2.0794415417,2.2289032766,-0.149461735,-0.808653148
I,0,0,0,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13,2.5649493575,2.1679296539,0.3970197035,2.1538265359
F,1,0,1,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11,2.3978952728,2.3099647418,0.087930531,0.4761253328
F,1,0,1,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11,2.3978952728,2.4033711833,-0.005475911,-0.029615648
F,1,0,1,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14,2.6390573296,2.3792351244,0.2598222052,1.405382131
M,1,1,0,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10,2.302585093,2.0093044914,0.2932806016,1.5937495858
I,0,0,0,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12,2.4849066498,2.1832704444,0.3016362054,1.6313200908
I,0,0,0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096,12,2.4849066498,2.0750210289,0.4098856209,2.219450155
M,1,1,0,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345,7,1.9459101491,1.8930370764,0.0528730726,0.2869106751
F,1,0,1,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11,2.3978952728,2.1679969521,0.2298983207,1.2452397795
I,0,0,0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16,2.7725887222,2.1456546528,0.6269340694,3.3938369427
I,0,0,0,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14,2.6390573296,2.1193406929,0.5197166368,2.8131307549
F,1,0,1,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20,2.9957322736,2.6221426207,0.3735896529,2.0266090616
F,1,0,1,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17,2.8332133441,2.446491922,0.386721422,2.0908720043
I,0,0,0,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10,2.302585093,2.3957962929,-0.0932112,-0.508316614
F,1,0,1,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11,2.3978952728,2.3359486702,0.0619466026,0.3355980933
I,0,0,0,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10,2.302585093,2.3257000319,-0.023114939,-0.125123011
F,1,0,1,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10,2.302585093,2.3544754945,-0.051890401,-0.281132288
I,0,0,0,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11,2.3978952728,2.2981323869,0.0997628859,0.539877913
F,1,0,1,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17,2.8332133441,2.6430901147,0.1901232294,1.0346300282
F,1,0,1,0.625,0.49,0.175,1.233,0.5565,0.247,0.365,11,2.3978952728,2.3858224781,0.0120727947,0.0652619535
I,0,0,0,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14,2.6390573296,2.2824165982,0.3566407314,1.9297664552
F,1,0,1,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19,2.9444389792,2.4177623056,0.5266766736,2.8532432703
I,0,0,0,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13,2.5649493575,2.1164226591,0.4485266983,2.4331394729
F,1,0,1,0.41,0.305,0.1,0.363,0.1735,0.065,0.11,11,2.3978952728,2.102910312,0.2949849608,1.5995659189
I,0,0,0,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11,2.3978952728,2.2303011652,0.1675941076,0.9067841583
I,0,0,0,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10,2.302585093,2.3089149251,-0.006329832,-0.034523633
F,1,0,1,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13,2.5649493575,2.4339310164,0.1310183411,0.7087303158
M,1,1,0,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14,2.6390573296,2.3846972365,0.2543600931,1.3809766987
F,1,0,1,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13,2.5649493575,2.1696004208,0.3953489367,2.1424573755
I,0,0,0,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13,2.5649493575,2.3949545152,0.1699948423,0.9201439364
F,1,0,1,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,2.1972245773,2.1274811484,0.069743429,0.3785569794
I,0,0,0,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18,2.8903717579,2.376738663,0.5136330949,2.8059141778
F,1,0,1,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19,2.9444389792,2.6942156518,0.2502233274,1.3596016961
M,1,1,0,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12,2.4849066498,2.4603180362,0.0245886136,0.1329444915
I,0,0,0,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13,2.5649493575,2.5281365229,0.0368128346,0.2005652301
F,1,0,1,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9,2.1972245773,2.4225026638,-0.225278086,-1.21882425
I,0,0,0,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,13,2.5649493575,2.4371818123,0.1277675452,0.6962310379
I,0,0,0,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12,2.4849066498,2.5439167527,-0.059010103,-0.324050797
F,1,0,1,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16,2.7725887222,2.746982968,0.0256057543,0.1390311654
I,0,0,0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17,2.8332133441,2.3609595922,0.4722537518,2.5583415898
F,1,0,1,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10,2.302585093,2.1647491567,0.1378359363,0.7476514591
F,1,0,1,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13,2.5649493575,2.1640624502,0.4008869073,2.1712712467
I,0,0,0,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166,11,2.3978952728,2.1595345178,0.238360755,1.2889469787
I,0,0,0,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12,2.4849066498,2.3332536891,0.1516529607,0.8226941646
I,0,0,0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13,2.5649493575,2.2383441123,0.3266052451,1.768434082
M,1,1,0,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9,2.1972245773,2.0532754282,0.1439491492,0.7793453509
I,0,0,0,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10,2.302585093,2.1452621171,0.1573229759,0.851203941
M,1,1,0,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10,2.302585093,2.2014709503,0.1011141427,0.547589034
M,1,1,0,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12,2.4849066498,2.121402176,0.3635044738,1.9675502602
F,1,0,1,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,2.4849066498,2.4113865481,0.0735201016,0.4003076337
M,1,1,0,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4,1.3862943611,1.561677901,-0.17538354,-0.960845089
M,1,1,0,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,2.1972245773,2.0440870575,0.1531375199,0.8301033844
I,0,0,0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18,2.8903717579,2.2247496209,0.665622137,3.6102614634
I,0,0,0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,2.7080502011,2.2804978878,0.4275523133,2.3159799846
M,1,1,0,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13,2.5649493575,2.4007048857,0.1642444718,0.8917874933
F,1,0,1,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12,2.4849066498,2.3764910707,0.1084155791,0.5870152852
M,1,1,0,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7,1.9459101491,1.9876241732,-0.041714024,-0.225991273
M,1,1,0,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,2.1972245773,1.9618640228,0.2353605546,1.2760937059
M,1,1,0,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7,1.9459101491,1.704471311,0.2414388381,1.3156508682
M,1,1,0,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10,2.302585093,2.0456167323,0.2569683607,1.3919304328
I,0,0,0,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18,2.8903717579,2.4299554048,0.460416353,2.5045603428
F,1,0,1,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,2.4849066498,2.2679973449,0.2169093049,1.1732021451
F,1,0,1,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17,2.8332133441,2.3472779705,0.4859353736,2.6318309218
I,0,0,0,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15,2.7080502011,2.091248505,0.6168016961,3.3344961322
F,1,0,1,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12,2.4849066498,2.4208220845,0.0640845652,0.3471732912
F,1,0,1,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10,2.302585093,2.2677335909,0.034851502,0.1888980359
F,1,0,1,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8,2.0794415417,2.12720061,-0.047759068,-0.259090353
I,0,0,0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,3.0445224377,2.4242641238,0.620258314,3.3660175987
M,1,1,0,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10,2.302585093,2.0384266047,0.2641584883,1.4306320093
I,0,0,0,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9,2.1972245773,2.0664834615,0.1307411159,0.7068820887
F,1,0,1,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7,1.9459101491,2.2866048094,-0.34069466,-1.844031038
M,1,1,0,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10,2.302585093,2.2984154487,0.0041696443,0.0225433921
I,0,0,0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9,2.1972245773,2.248040305,-0.050815728,-0.27474197
M,1,1,0,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9,2.1972245773,2.183307431,0.0139171464,0.075462416
M,1,1,0,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8,2.0794415417,2.1311911449,-0.051749603,-0.280160574
M,1,1,0,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,1.9459101491,2.0425704914,-0.096660342,-0.532383777
M,1,1,0,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6,1.7917594692,2.018981597,-0.227222128,-1.230467039
I,0,0,0,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,2.6390573296,2.1969043111,0.4421530185,2.3900887416
F,1,0,1,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,2.5649493575,2.3687995504,0.1961498071,1.0606637321
M,1,1,0,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7,1.9459101491,1.9511536248,-0.005243476,-0.028399135
I,0,0,0,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13,2.5649493575,2.5740146092,-0.009065252,-0.049410421
F,1,0,1,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19,2.9444389792,2.4850030291,0.45943595,2.4889667136
M,1,1,0,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,1.9459101491,2.0447020058,-0.098791857,-0.535092716
M,1,1,0,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9,2.1972245773,2.2009455778,-0.003721,-0.020149034
I,0,0,0,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,2.3978952728,2.1216553068,0.276239966,1.4951826984
M,1,1,0,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6,1.7917594692,1.9336512954,-0.141891826,-0.774942423
M,1,1,0,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9,2.1972245773,2.6201062027,-0.422881625,-2.342893956
I,0,0,0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11,2.3978952728,2.1861010265,0.2117942463,1.1443779092
F,1,0,1,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9,2.1972245773,2.3197135273,-0.12248895,-0.66313245
M,1,1,0,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5,1.6094379124,1.7526075494,-0.143169637,-0.779037464
I,0,0,0,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,1.7917594692,1.9156806089,-0.12392114,-0.67000788
I,0,0,0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11,2.3978952728,2.1797654226,0.2181298502,1.1796542033
M,1,1,0,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7,1.9459101491,1.9598870128,-0.013976864,-0.075779211
F,1,0,1,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,2.302585093,2.1402439698,0.1623411232,0.8808594974
M,1,1,0,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7,1.9459101491,1.9058149258,0.0400952233,0.2174239128
F,1,0,1,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17,2.8332133441,2.5797306305,0.2534827135,1.3712640891
F,1,0,1,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,2.7725887222,2.5921890214,0.1803997008,0.9803554104
I,0,0,0,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18,2.8903717579,2.7350053713,0.1553663865,0.8589344073
F,1,0,1,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11,2.3978952728,2.4682290836,-0.070333811,-0.382226698
I,0,0,0,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18,2.8903717579,2.8368784518,0.0534933061,0.2997257817
I,0,0,0,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11,2.3978952728,2.4923841255,-0.094488853,-0.517248819
F,1,0,1,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10,2.302585093,2.2805489642,0.0220361288,0.1194832846
F,1,0,1,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12,2.4849066498,2.2083042959,0.2766023539,1.4992783292
I,0,0,0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19,2.9444389792,2.3237738819,0.6206650973,3.3687012789
F,1,0,1,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10,2.302585093,2.1923640119,0.1102210811,0.5974065847
M,1,1,0,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,2.3978952728,2.2963952201,0.1015000527,0.5497513556
F,1,0,1,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15,2.7080502011,2.4285020241,0.279548177,1.5124888715
M,1,1,0,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13,2.5649493575,2.6916573856,-0.126708028,-0.688223902
F,1,0,1,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13,2.5649493575,2.4621813624,0.102767995,0.5565933426
M,1,1,0,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14,2.6390573296,2.4469653218,0.1920920078,1.0399588315
F,1,0,1,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17,2.8332133441,2.43339226,0.399821084,2.1632941407
F,1,0,1,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19,2.9444389792,2.6637504069,0.2806885722,1.5249692132
M,1,1,0,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21,3.0445224377,2.35232324,0.6921991977,3.7467476508
F,1,0,1,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23,3.1354942159,2.6287016138,0.5067926021,2.7546026932
F,1,0,1,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22,3.0910424534,2.7697631304,0.321279323,1.7554211952
M,1,1,0,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12,2.4849066498,2.4777473002,0.0071593496,0.0387081219
F,1,0,1,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,2.3978952728,2.4575934476,-0.059698175,-0.32358891
F,1,0,1,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23,3.1354942159,2.6762957307,0.4591984852,2.5154724913
F,1,0,1,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,2.0794415417,2.1257772676,-0.046335726,-0.251912975
I,0,0,0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7,1.9459101491,1.977104225,-0.031194076,-0.168612259
M,1,1,0,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10,2.302585093,2.3865539799,-0.083968887,-0.454187646
F,1,0,1,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7,1.9459101491,2.2379977379,-0.292087589,-1.580613015
M,1,1,0,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,2.7725887222,2.5408776588,0.2317110634,1.2579410792
M,1,1,0,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10,2.302585093,2.3556192842,-0.053034191,-0.286806884
M,1,1,0,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15,2.7080502011,2.4514309895,0.2566192116,1.3922866327
F,1,0,1,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13,2.5649493575,2.303428613,0.2615207445,1.415393967
F,1,0,1,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,2.7725887222,2.7909987129,-0.018409991,-0.101094179
M,1,1,0,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11,2.3978952728,2.3645173173,0.0333779555,0.1813377813
M,1,1,0,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11,2.3978952728,2.4279065629,-0.03001129,-0.162493972
M,1,1,0,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10,2.302585093,2.3474734209,-0.044888328,-0.242868332
I,0,0,0,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5,1.6094379124,1.687095472,-0.07765756,-0.420352369
F,1,0,1,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11,2.3978952728,2.2370141746,0.1608810982,0.8710578433
M,1,1,0,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9,2.1972245773,2.1470760766,0.0501485008,0.2717144735
I,0,0,0,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4,1.3862943611,1.2018877884,0.1844065727,1.0100308849
I,0,0,0,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7,1.9459101491,1.8652226537,0.0806874953,0.4367120313
I,0,0,0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4,1.3862943611,1.2787131017,0.1075812594,0.5873290216
M,1,1,0,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5,1.6094379124,1.8736872495,-0.264249337,-1.443562172
F,1,0,1,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13,2.5649493575,2.335446005,0.2295033524,1.2421142005
F,1,0,1,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16,2.7725887222,2.2903870202,0.482201702,2.6137375406
M,1,1,0,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12,2.4849066498,2.1175477746,0.3673588752,1.9874682027
F,1,0,1,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14,2.6390573296,2.4025459156,0.236511414,1.2796558041
F,1,0,1,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9,2.1972245773,2.2162786695,-0.019054092,-0.103192605
M,1,1,0,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12,2.4849066498,2.2225905136,0.2623161362,1.4200779304
M,1,1,0,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9,2.1972245773,2.1250088796,0.0722156977,0.3911691301
M,1,1,0,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10,2.302585093,2.3267687772,-0.024183684,-0.131119312
M,1,1,0,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11,2.3978952728,2.1084122879,0.2894829849,1.5703423733
F,1,0,1,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10,2.302585093,2.1068799585,0.1957051345,1.063337614
M,1,1,0,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10,2.302585093,2.2766636461,0.0259214469,0.1411927017
I,0,0,0,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,1.9459101491,1.8293547633,0.1165553857,0.630981487
I,0,0,0,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7,1.9459101491,1.9092372117,0.0366729373,0.1982644485
M,1,1,0,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11,2.3978952728,2.1267000283,0.2711952445,1.4681679624
I,0,0,0,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7,1.9459101491,1.679467848,0.2664423011,1.442021119
M,1,1,0,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8,2.0794415417,2.0998468973,-0.020405356,-0.110489746
M,1,1,0,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,2.1972245773,2.0232745836,0.1739499938,0.9424537027
I,0,0,0,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7,1.9459101491,1.673792167,0.272117982,1.4712166476
I,0,0,0,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8,2.0794415417,1.741456498,0.3379850437,1.8279609422
I,0,0,0,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6,1.7917594692,1.6210483941,0.1707110751,0.9235281773
I,0,0,0,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4,1.3862943611,1.3226029424,0.0636914188,0.3461908764
I,0,0,0,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2,0.6931471806,1.1719633473,-0.478816167,-2.618993321
I,0,0,0,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3,1.0986122887,1.2145746245,-0.115962336,-0.633261188
M,1,1,0,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13,2.5649493575,2.5294270154,0.035522342,0.1924456595
M,1,1,0,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15,2.7080502011,2.6456625268,0.0623876743,0.3394464287
M,1,1,0,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15,2.7080502011,2.4280288688,0.2800213323,1.518151895
M,1,1,0,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11,2.3978952728,2.225049923,0.1728453498,0.9392437523
F,1,0,1,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17,2.8332133441,2.4308009061,0.402412438,2.1833018867
M,1,1,0,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10,2.302585093,2.1762795847,0.1263055083,0.6840574509
F,1,0,1,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12,2.4849066498,2.2543844346,0.2305222152,1.2473117458
M,1,1,0,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13,2.5649493575,2.4926519759,0.0722973815,0.3912158737
F,1,0,1,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15,2.7080502011,2.2707823145,0.4372678866,2.3716386712
M,1,1,0,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11,2.3978952728,2.6672765566,-0.269381284,-1.462689646
M,1,1,0,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13,2.5649493575,2.324151731,0.2407976264,1.3025044175
M,1,1,0,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,2.7080502011,2.471288221,0.2367619801,1.2820812865
M,1,1,0,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13,2.5649493575,2.4309274954,0.1340218621,0.7258022198
M,1,1,0,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18,2.8903717579,2.5969123832,0.2934593747,1.594441307
M,1,1,0,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10,2.302585093,2.2723240385,0.0302610545,0.163766598
M,1,1,0,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12,2.4849066498,2.3775968689,0.1073097809,0.58184181
F,1,0,1,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12,2.4849066498,2.3765916851,0.1083149647,0.5861034653
M,1,1,0,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14,2.6390573296,2.6551871398,-0.01612981,-0.087485237
M,1,1,0,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10,2.302585093,2.2388853683,0.0636997247,0.3451640737
M,1,1,0,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14,2.6390573296,2.4740980068,0.1649593228,0.9063839779
F,1,0,1,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8,2.0794415417,2.0891299174,-0.009688376,-0.052623258
F,1,0,1,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14,2.6390573296,2.4064314283,0.2326259013,1.2577282088
F,1,0,1,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17,2.8332133441,2.5374109779,0.2958023662,1.6000907677
M,1,1,0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20,2.9957322736,2.5614019992,0.4343302744,2.3525336063
F,1,0,1,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17,2.8332133441,2.5515889338,0.2816244103,1.5319696054
F,1,0,1,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17,2.8332133441,2.532708566,0.300504778,1.6513717672
M,1,1,0,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9,2.1972245773,2.2853202842,-0.088095707,-0.47857976
