Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Pred Formula Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings],Lower 95% Mean Log[Rings],Upper 95% Mean Log[Rings]
M,1,1,0,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12,2.4849066498,2.3100026711,2.3100026711,0.1749039787,0.934129976,2.2952745898,2.3247307524
F,1,0,1,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12,2.4849066498,2.2860453449,2.2860453449,0.1988613049,1.0618922745,2.2730511148,2.2990395751
F,1,0,1,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8,2.0794415417,2.4282866256,2.4282866256,-0.348845084,-1.866936797,2.4005792118,2.4559940393
M,1,1,0,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13,2.5649493575,2.3244495448,2.3244495448,0.2404998127,1.2844263767,2.3100010906,2.338897999
F,1,0,1,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9,2.1972245773,2.5159354208,2.5159354208,-0.318710843,-1.701984185,2.5022773283,2.5295935134
I,0,0,0,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6,1.7917594692,1.8777446059,1.8777446059,-0.085985137,-0.459263813,1.8623729,1.8931163119
I,0,0,0,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,2.0794415417,2.0552052718,2.0552052718,0.0242362699,0.1295098195,2.0362544701,2.0741560734
M,1,1,0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14,2.6390573296,2.2751079915,2.2751079915,0.3639493382,1.9434189135,2.2622261663,2.2879898166
F,1,0,1,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,8,2.0794415417,2.2445568176,2.2445568176,-0.165115276,-0.882161599,2.2268933577,2.2622202775
F,1,0,1,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22,3.0910424534,2.4362284969,2.4362284969,0.6548139565,3.4964755504,2.4236619141,2.4487950797
M,1,1,0,0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,12,2.4849066498,2.2566931799,2.2566931799,0.2282134699,1.2184761852,2.2450711175,2.2683152423
M,1,1,0,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9,2.1972245773,2.2746565538,2.2746565538,-0.077431976,-0.413462396,2.2620135273,2.2872995802
M,1,1,0,0.635,0.515,0.17,1.275,0.509,0.286,0.34,16,2.7725887222,2.4604375412,2.4604375412,0.312151181,1.6672626314,2.4450619413,2.4758131412
M,1,1,0,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20,2.9957322736,2.7880480641,2.7880480641,0.2076842095,1.1181126687,2.7395109329,2.8365851952
M,1,1,0,0.675,0.525,0.185,1.587,0.6935,0.336,0.395,13,2.5649493575,2.3922747946,2.3922747946,0.1726745629,0.9222184112,2.3775930693,2.4069565199
F,1,0,1,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,2.8903717579,2.5272141702,2.5272141702,0.3631575877,1.9479099931,2.490200714,2.5642276264
M,1,1,0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17,2.8332133441,2.5885517975,2.5885517975,0.2446615466,1.3263650791,2.5238635963,2.6532399987
F,1,0,1,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16,2.7725887222,2.4848217192,2.4848217192,0.287767003,1.5373361494,2.4677482827,2.5018951558
M,1,1,0,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,2.8903717579,2.5139488496,2.5139488496,0.3764229083,2.0099600984,2.5014114076,2.5264862916
F,1,0,1,0.59,0.465,0.15,0.997,0.392,0.246,0.34,12,2.4849066498,2.495567652,2.495567652,-0.010661002,-0.056919347,2.4843228483,2.5068124557
F,1,0,1,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20,2.9957322736,2.4761233163,2.4761233163,0.5196089573,2.7747630277,2.4626807596,2.489565873
F,1,0,1,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16,2.7725887222,2.4313997039,2.4313997039,0.3411890183,1.8216774743,2.4197596843,2.4430397236
F,1,0,1,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12,2.4849066498,2.4271914647,2.4271914647,0.057715185,0.3081244498,2.4166834854,2.4376994441
M,1,1,0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19,2.9444389792,2.3941444302,2.3941444302,0.550294549,2.9428491031,2.3703290098,2.4179598505
M,1,1,0,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11,2.3978952728,2.2261612106,2.2261612106,0.1717340622,0.9172098724,2.2113353292,2.2409870919
F,1,0,1,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10,2.302585093,2.308133486,2.308133486,-0.005548393,-0.029623989,2.2964965234,2.3197704486
M,1,1,0,0.63,0.49,0.18,1.13,0.458,0.2765,0.315,12,2.4849066498,2.415029321,2.415029321,0.0698773287,0.373102142,2.4029957776,2.4270628644
F,1,0,1,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17,2.8332133441,2.5506271435,2.5506271435,0.2825862005,1.5109338219,2.5278519712,2.5734023158
F,1,0,1,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16,2.7725887222,2.4784914768,2.4784914768,0.2940972455,1.5722915066,2.4564398999,2.5005430537
F,1,0,1,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5,16,2.7725887222,2.6332797509,2.6332797509,0.1393089713,0.7462698828,2.6012343648,2.665325137
F,1,0,1,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19,2.9444389792,2.924632789,2.924632789,0.0198061901,0.1062966331,2.8856388981,2.9636266799
F,1,0,1,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14,2.6390573296,2.4313985658,2.4313985658,0.2076587638,1.1126056524,2.3986472698,2.4641498618
M,1,1,0,0.685,0.52,0.15,1.343,0.4635,0.292,0.4,13,2.5649493575,2.6192587537,2.6192587537,-0.054309396,-0.290510158,2.5940110609,2.6445064464
F,1,0,1,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20,2.9957322736,2.6596417924,2.6596417924,0.3360904811,1.7978648334,2.6342173678,2.685066217
M,1,1,0,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11,2.3978952728,2.3599488427,2.3599488427,0.0379464301,0.2026590438,2.3454877057,2.3744099796
F,1,0,1,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10,2.302585093,2.2532013007,2.2532013007,0.0493837923,0.2637088909,2.2399666401,2.2664359613
M,1,1,0,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,2.7080502011,2.5597661109,2.5597661109,0.1482840902,0.7922245038,2.5422291447,2.5773030771
F,1,0,1,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,12,2.4849066498,2.6330740657,2.6330740657,-0.148167416,-0.791894495,2.6128926369,2.6532554946
M,1,1,0,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15,2.7080502011,2.7126775942,2.7126775942,-0.004627393,-0.024725782,2.6941114788,2.7312437097
M,1,1,0,0.535,0.42,0.145,0.791,0.33,0.189,0.25,10,2.302585093,2.3727923328,2.3727923328,-0.07020724,-0.374785492,2.3633818487,2.3822028169
M,1,1,0,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10,2.302585093,2.2438741352,2.2438741352,0.0587109578,0.3135690204,2.2290125996,2.2587356707
M,1,1,0,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12,2.4849066498,2.3406333696,2.3406333696,0.1442732802,0.7703912363,2.3277530715,2.3535136676
M,1,1,0,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,2.302585093,2.3025322196,2.3025322196,0.0000528734,0.0002822438,2.2935740872,2.3114903521
F,1,0,1,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9,2.1972245773,2.2077625409,2.2077625409,-0.010537964,-0.056288726,2.1918769617,2.2236481201
M,1,1,0,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12,2.4849066498,2.2311034473,2.2311034473,0.2538032025,1.3550419883,2.2200318148,2.2421750797
M,1,1,0,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,10,2.302585093,2.2370506691,2.2370506691,0.0655344239,0.3501051804,2.2199553521,2.2541459861
M,1,1,0,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14,2.6390573296,2.3901725731,2.3901725731,0.2488847565,1.3301088854,2.3703899909,2.4099551554
I,0,0,0,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9,2.1972245773,2.0906257359,2.0906257359,0.1065988415,0.5693372578,2.0756988493,2.1055526224
I,0,0,0,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10,2.302585093,2.0092278413,2.0092278413,0.2933572517,1.5666256933,1.9953502904,2.0231053922
M,1,1,0,0.475,0.375,0.125,0.593,0.277,0.115,0.18,10,2.302585093,2.2248334601,2.2248334601,0.0777516329,0.4151583871,2.2124728754,2.2371940448
F,1,0,1,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10,2.302585093,2.2566316019,2.2566316019,0.0459534911,0.2453739467,2.2441301616,2.2691330422
I,0,0,0,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9,2.1972245773,1.9653882026,1.9653882026,0.2318363748,1.2385273048,1.9483846053,1.9823917998
I,0,0,0,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6,1.7917594692,1.9461990947,1.9461990947,-0.154439625,-0.825039018,1.9293468202,1.9630513691
I,0,0,0,0.39,0.31,0.1,0.302,0.116,0.064,0.115,11,2.3978952728,2.0812834543,2.0812834543,0.3166118185,1.6910862661,2.0659157998,2.0966511088
F,1,0,1,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10,2.302585093,2.3324426656,2.3324426656,-0.029857573,-0.159450698,2.3184868181,2.3463985132
M,1,1,0,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8,2.0794415417,2.3236511097,2.3236511097,-0.244209568,-1.303945976,2.3114771388,2.3358250806
M,1,1,0,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12,2.4849066498,2.4426365149,2.4426365149,0.0422701348,0.2258869346,2.4233523776,2.4619206523
M,1,1,0,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11,2.3978952728,2.3667029673,2.3667029673,0.0311923055,0.1665250408,2.3563137449,2.3770921896
F,1,0,1,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,2.1972245773,2.2195189345,2.2195189345,-0.022294357,-0.119041586,2.2071721156,2.2318657534
M,1,1,0,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9,2.1972245773,2.3632472327,2.3632472327,-0.166022655,-0.887996369,2.3385259138,2.3879685516
F,1,0,1,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7,1.9459101491,2.2571844171,2.2571844171,-0.311274268,-1.662874297,2.2403238327,2.2740450015
F,1,0,1,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10,2.302585093,2.2647617098,2.2647617098,0.0378233832,0.2019442415,2.2532650861,2.2762583334
I,0,0,0,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,1.9459101491,2.0452210468,2.0452210468,-0.099310898,-0.530361089,2.0312026851,2.0592394086
F,1,0,1,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12,2.4849066498,2.3302024569,2.3302024569,0.1547041929,0.8262332468,2.3156233936,2.3447815202
M,1,1,0,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8,2.0794415417,2.2231765739,2.2231765739,-0.143735032,-0.767510078,2.2103923395,2.2359608082
M,1,1,0,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16,2.7725887222,2.3494576344,2.3494576344,0.4231310879,2.2606783603,2.3317424982,2.3671727706
M,1,1,0,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11,2.3978952728,2.3692003891,2.3692003891,0.0286948837,0.1532033333,2.3579041487,2.3804966295
M,1,1,0,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8,2.0794415417,2.3483171232,2.3483171232,-0.268875582,-1.435484393,2.3374877151,2.3591465313
M,1,1,0,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34,15,2.7080502011,2.4536254499,2.4536254499,0.2544247512,1.3591342438,2.4370095087,2.4702413911
M,1,1,0,0.585,0.475,0.12,0.945,0.41,0.2115,0.28,14,2.6390573296,2.3428799954,2.3428799954,0.2961773342,1.5814810918,2.3303229125,2.3554370784
F,1,0,1,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11,2.3978952728,2.2948012475,2.2948012475,0.1030940253,0.5503694665,2.2847535308,2.3048489642
M,1,1,0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12,2.4849066498,2.3785597279,2.3785597279,0.1063469219,0.5677726799,2.3676601604,2.3894592955
F,1,0,1,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,2.6390573296,2.473158542,2.473158542,0.1658987876,0.8859335726,2.4595171163,2.4867999678
F,1,0,1,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15,2.7080502011,2.5980477985,2.5980477985,0.1100024026,0.5877120674,2.5803572747,2.6157383223
F,1,0,1,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20,2.9957322736,2.4566606191,2.4566606191,0.5390716545,2.8779470408,2.4461457593,2.4671754789
M,1,1,0,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20,2.9957322736,2.6823466355,2.6823466355,0.3133856381,1.6741123256,2.6656839478,2.6990093231
F,1,0,1,0.63,0.5,0.155,1.005,0.367,0.199,0.36,16,2.7725887222,2.5266737037,2.5266737037,0.2459150185,1.3144515496,2.505814209,2.5475331985
M,1,1,0,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,2.5649493575,2.4480623994,2.4480623994,0.1168869581,0.6245359835,2.4298712102,2.4662535886
F,1,0,1,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,14,2.6390573296,2.7442548829,2.7442548829,-0.105197553,-0.562447994,2.7217224151,2.7667873506
I,0,0,0,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11,2.3978952728,2.1797144899,2.1797144899,0.2181807829,1.1650567271,2.1667107197,2.19271826
F,1,0,1,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13,2.5649493575,2.314516083,2.314516083,0.2504332745,1.3372445085,2.301796726,2.3272354399
I,0,0,0,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8,2.0794415417,1.7758462502,1.7758462502,0.3035952915,1.6220314912,1.7581239873,1.7935685131
I,0,0,0,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6,1.7917594692,1.6791619438,1.6791619438,0.1125975254,0.6016354509,1.6607477984,1.6975760892
M,1,1,0,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13,2.5649493575,2.4684719803,2.4684719803,0.0964773771,0.5150714219,2.4577911455,2.4791528152
F,1,0,1,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18,2.8903717579,2.5565913816,2.5565913816,0.3337803762,1.7825663787,2.542349766,2.5708329973
M,1,1,0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19,2.9444389792,2.4620951123,2.4620951123,0.4823438669,2.5770512604,2.4443370802,2.4798531443
F,1,0,1,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21,3.0445224377,2.628982602,2.628982602,0.4155398357,2.2205301167,2.6099162557,2.6480489484
F,1,0,1,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18,2.8903717579,2.6406237079,2.6406237079,0.24974805,1.3341855532,2.6238012839,2.6574461319
F,1,0,1,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18,2.8903717579,2.449421941,2.449421941,0.4409498169,2.3538526489,2.440373751,2.458470131
M,1,1,0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20,2.9957322736,2.4090260412,2.4090260412,0.5867062324,3.1320209274,2.3995143999,2.4185376825
M,1,1,0,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18,2.8903717579,2.5249070236,2.5249070236,0.3654647343,1.9515002028,2.5120823381,2.5377317092
M,1,1,0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22,3.0910424534,2.5450388453,2.5450388453,0.5460036081,2.9164279279,2.5293298808,2.5607478097
I,0,0,0,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13,2.5649493575,2.1634450389,2.1634450389,0.4015043186,2.145130131,2.1457372627,2.181152815
M,1,1,0,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11,2.3978952728,2.3386178261,2.3386178261,0.0592774467,0.3165400149,2.3254114728,2.3518241793
I,0,0,0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7,1.9459101491,1.9850700172,1.9850700172,-0.039159868,-0.209182547,1.9688082392,2.0013317952
I,0,0,0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14,2.6390573296,2.0380158807,2.0380158807,0.6010414489,3.2107676553,2.0213727052,2.0546590561
M,1,1,0,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9,2.1972245773,2.0832051108,2.0832051108,0.1140194666,0.609141265,2.0659299839,2.1004802377
M,1,1,0,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,2.5649493575,2.4930129275,2.4930129275,0.07193643,0.3842377791,2.4773941384,2.5086317167
I,0,0,0,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10,2.302585093,1.9625151925,1.9625151925,0.3400699005,1.8161875436,1.9481092106,1.9769211743
I,0,0,0,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07,8,2.0794415417,1.9062987207,1.9062987207,0.1731428209,0.9247501464,1.8913137662,1.9212836753
F,1,0,1,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19,2.9444389792,2.6445945602,2.6445945602,0.2998444189,1.6026961871,2.6237989603,2.6653901602
I,0,0,0,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10,2.302585093,1.9385742845,1.9385742845,0.3640108085,1.9439266791,1.9247598415,1.9523887275
F,1,0,1,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10,2.302585093,2.1853407775,2.1853407775,0.1172443155,0.6262377765,2.1697959694,2.2008855856
F,1,0,1,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9,2.1972245773,2.4068726296,2.4068726296,-0.209648052,-1.120721018,2.38532431,2.4284209492
M,1,1,0,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13,2.5649493575,2.7128438987,2.7128438987,-0.147894541,-0.790589938,2.6914043237,2.7342834736
M,1,1,0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,16,2.7725887222,2.5814487214,2.5814487214,0.1911400008,1.021464594,2.5619368345,2.6009606083
M,1,1,0,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,2.4849066498,2.4296788439,2.4296788439,0.0552278059,0.2950384319,2.4127338394,2.4466238483
F,1,0,1,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18,2.8903717579,2.3136898164,2.3136898164,0.5766819415,3.0795601646,2.3001765375,2.3272030953
M,1,1,0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16,2.7725887222,2.6433141149,2.6433141149,0.1292746073,0.6921797617,2.6133709191,2.6732573107
F,1,0,1,0.675,0.535,0.16,1.41,0.592,0.3175,0.42,16,2.7725887222,2.4420627355,2.4420627355,0.3305259867,1.7651663936,2.4279276536,2.4561978174
F,1,0,1,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17,2.8332133441,2.4487568072,2.4487568072,0.3844565369,2.0569560643,2.4224131827,2.4751004316
F,1,0,1,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,2.3978952728,2.3062380347,2.3062380347,0.0916572381,0.4900636239,2.2835826926,2.3288933768
F,1,0,1,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14,2.6390573296,2.3321221848,2.3321221848,0.3069351448,1.6420618518,2.3061911073,2.3580532623
M,1,1,0,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11,2.3978952728,2.3278159562,2.3278159562,0.0700793166,0.3743996628,2.3104232138,2.3452086986
F,1,0,1,0.64,0.54,0.175,1.221,0.51,0.259,0.39,15,2.7080502011,2.4310811144,2.4310811144,0.2769690867,1.4806969972,2.4091310865,2.4530311423
I,0,0,0,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9,2.1972245773,1.9909178948,1.9909178948,0.2063066825,1.1020802637,1.9743592952,2.0074764944
I,0,0,0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10,2.302585093,2.0307679939,2.0307679939,0.2718170991,1.4516723995,2.0163760607,2.0451599271
F,1,0,1,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11,2.3978952728,2.3652557323,2.3652557323,0.0326395405,0.1742532302,2.3547261066,2.3757853581
M,1,1,0,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11,2.3978952728,2.0853891744,2.0853891744,0.3125060984,1.6697263561,2.0672766152,2.1035017335
F,1,0,1,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12,2.4849066498,2.4252800089,2.4252800089,0.0596266408,0.3183886086,2.4126000858,2.4379599321
I,0,0,0,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6,1.7917594692,1.6279373079,1.6279373079,0.1638221614,0.8755900636,1.6075488326,1.6483257831
I,0,0,0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5,1.6094379124,1.5399311726,1.5399311726,0.0695067399,0.3716936348,1.5163059508,1.5635563943
I,0,0,0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6,1.7917594692,1.6669589158,1.6669589158,0.1248005534,0.666895608,1.6479358269,1.6859820046
I,0,0,0,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5,1.6094379124,1.3434897698,1.3434897698,0.2659481426,1.4263735012,1.3067890155,1.3801905241
F,1,0,1,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12,2.4849066498,2.5018997254,2.5018997254,-0.016993076,-0.090826566,2.4813186751,2.5224807756
M,1,1,0,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,13,2.5649493575,2.4854524582,2.4854524582,0.0794968993,0.4245198981,2.472042454,2.4988624624
F,1,0,1,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17,2.8332133441,2.8496610736,2.8496610736,-0.01644773,-0.088069975,2.8195508684,2.8797712789
M,1,1,0,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21,3.0445224377,2.5819490119,2.5819490119,0.4625734259,2.4724714391,2.5612225005,2.6026755233
F,1,0,1,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9,2.1972245773,2.3660542033,2.3660542033,-0.168829626,-0.901734853,2.350857945,2.3812504616
F,1,0,1,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10,2.302585093,2.2369340998,2.2369340998,0.0656509932,0.3505104633,2.2257499909,2.2481182087
I,0,0,0,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045,9,2.1972245773,2.0574219796,2.0574219796,0.1398025978,0.7466914264,2.0423132354,2.0725307237
F,1,0,1,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11,2.3978952728,2.2814240703,2.2814240703,0.1164712025,0.6218616255,2.2698173209,2.2930308196
F,1,0,1,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765,10,2.302585093,2.5255355519,2.5255355519,-0.222950459,-1.190711746,2.5110058472,2.5400652567
M,1,1,0,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645,17,2.8332133441,2.5166246247,2.5166246247,0.3165887194,1.6906101646,2.5032105051,2.5300387442
F,1,0,1,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9,2.1972245773,2.2861675941,2.2861675941,-0.088943017,-0.475065044,2.2707479494,2.3015872388
M,1,1,0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17,2.8332133441,2.5796718729,2.5796718729,0.2535414712,1.3549342201,2.5602001898,2.599143556
M,1,1,0,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21,3.0445224377,2.6505105541,2.6505105541,0.3940118837,2.1120582847,2.6158789066,2.6851422015
M,1,1,0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16,2.7725887222,2.5138862022,2.5138862022,0.2587025201,1.3828079553,2.4930017721,2.5347706322
F,1,0,1,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,3.36729583,2.5734921568,2.5734921568,0.7938036732,4.2558287806,2.5382045442,2.6087797693
M,1,1,0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17,2.8332133441,2.4375460664,2.4375460664,0.3956672777,2.1154315508,2.4151222874,2.4599698453
M,1,1,0,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15,2.7080502011,2.2819497387,2.2819497387,0.4261004624,2.2757542815,2.2671011622,2.2967983152
F,1,0,1,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19,2.9444389792,2.3354919957,2.3354919957,0.6089469834,3.250858859,2.3255126372,2.3454713543
M,1,1,0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12,2.4849066498,2.3672783085,2.3672783085,0.1176283412,0.6282209665,2.3527019795,2.3818546376
F,1,0,1,0.585,0.465,0.14,0.908,0.381,0.1615,0.315,13,2.5649493575,2.4098142392,2.4098142392,0.1551351182,0.8284511567,2.3961992279,2.4234292506
M,1,1,0,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11,2.3978952728,2.4303430179,2.4303430179,-0.032447745,-0.173244361,2.4187526812,2.4419333546
F,1,0,1,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15,2.7080502011,2.4316538922,2.4316538922,0.2763963089,1.4760145932,2.4180018967,2.4453058876
M,1,1,0,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11,2.3978952728,2.3237708865,2.3237708865,0.0741243863,0.3956779516,2.3150501189,2.3324916542
F,1,0,1,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14,2.6390573296,2.4011744371,2.4011744371,0.2378828925,1.2700684029,2.3898739203,2.412474954
M,1,1,0,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14,2.6390573296,2.3297123887,2.3297123887,0.3093449409,1.6514399587,2.3196976219,2.3397271554
M,1,1,0,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13,2.5649493575,2.4554194229,2.4554194229,0.1095299346,0.5847608103,2.4446383333,2.4662005124
F,1,0,1,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11,2.3978952728,2.4606834522,2.4606834522,-0.062788179,-0.335286447,2.4475011106,2.4738657937
M,1,1,0,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415,15,2.7080502011,2.5317877714,2.5317877714,0.1762624297,0.9416710437,2.5145046101,2.5490709327
M,1,1,0,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37,17,2.8332133441,2.4284921097,2.4284921097,0.4047212343,2.160917921,2.4166974492,2.4402867703
F,1,0,1,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15,2.7080502011,2.4752419983,2.4752419983,0.2328082028,1.2448797426,2.4520009188,2.4984830778
F,1,0,1,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12,2.4849066498,2.7412515696,2.7412515696,-0.25634492,-1.37057274,2.7187102927,2.7637928465
F,1,0,1,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19,2.9444389792,2.3571925588,2.3571925588,0.5872464203,3.1355542761,2.3450947761,2.3692903415
F,1,0,1,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11,2.3978952728,2.4013309146,2.4013309146,-0.003435642,-0.018381862,2.3749420836,2.4277197455
